2020-11-03 23:31:24 status unpacked libbz2-1.0:armhf 1.0.6-9.2~deb10u1
2020-11-03 23:31:24 status half-configured libbz2-1.0:armhf 1.0.6-9.2~deb10u1
2020-11-03 23:31:24 status installed libbz2-1.0:armhf 1.0.6-9.2~deb10u1
2020-11-03 23:31:24 configure libbsd0:armhf 0.9.1-2 <none>
2020-11-03 23:31:24 status unpacked libbsd0:armhf 0.9.1-2
2020-11-03 23:31:24 status half-configured libbsd0:armhf 0.9.1-2
2020-11-03 23:31:24 status installed libbsd0:armhf 0.9.1-2
2020-11-03 23:31:24 configure base-passwd:armhf 3.5.46 <none>
2020-11-03 23:31:24 status unpacked base-passwd:armhf 3.5.46
2020-11-03 23:31:24 status half-configured base-passwd:armhf 3.5.46
2020-11-03 23:31:25 status installed base-passwd:armhf 3.5.46
2020-11-03 23:31:25 configure libdb5.3:armhf 5.3.28+dfsg1-0.5 <none>
2020-11-03 23:31:25 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.5
2020-11-03 23:31:25 status half-configured libdb5.3:armhf 5.3.28+dfsg1-0.5
2020-11-03 23:31:25 status installed libdb5.3:armhf 5.3.28+dfsg1-0.5
2020-11-03 23:31:25 configure libtinfo6:armhf 6.1+20181013-2+deb10u2 <none>
2020-11-03 23:31:25 status unpacked libtinfo6:armhf 6.1+20181013-2+deb10u2
2020-11-03 23:31:25 status half-configured libtinfo6:armhf 6.1+20181013-2+deb10u2
2020-11-03 23:31:25 status installed libtinfo6:armhf 6.1+20181013-2+deb10u2
2020-11-03 23:31:25 configure bash:armhf 5.0-4 <none>
2020-11-03 23:31:25 status unpacked bash:armhf 5.0-4
2020-11-03 23:31:25 status half-configured bash:armhf 5.0-4
2020-11-03 23:31:26 status installed bash:armhf 5.0-4
2020-11-03 23:31:26 configure cpio:armhf 2.12+dfsg-9 <none>
2020-11-03 23:31:26 status unpacked cpio:armhf 2.12+dfsg-9
2020-11-03 23:31:26 status half-configured cpio:armhf 2.12+dfsg-9
2020-11-03 23:31:26 status installed cpio:armhf 2.12+dfsg-9
2020-11-03 23:31:26 configure libzstd1:armhf 1.3.8+dfsg-3+rpi1 <none>
2020-11-03 23:31:26 status unpacked libzstd1:armhf 1.3.8+dfsg-3+rpi1
2020-11-03 23:31:26 status half-configured libzstd1:armhf 1.3.8+dfsg-3+rpi1
2020-11-03 23:31:26 status installed libzstd1:armhf 1.3.8+dfsg-3+rpi1
2020-11-03 23:31:26 configure libjson-c3:armhf 0.12.1+ds-2+deb10u1 <none>
2020-11-03 23:31:26 status unpacked libjson-c3:armhf 0.12.1+ds-2+deb10u1
2020-11-03 23:31:26 status half-configured libjson-c3:armhf 0.12.1+ds-2+deb10u1
2020-11-03 23:31:26 status installed libjson-c3:armhf 0.12.1+ds-2+deb10u1
2020-11-03 23:31:26 configure libkeyutils1:armhf 1.6-6 <none>
2020-11-03 23:31:26 status unpacked libkeyutils1:armhf 1.6-6
2020-11-03 23:31:26 status half-configured libkeyutils1:armhf 1.6-6
2020-11-03 23:31:26 status installed libkeyutils1:armhf 1.6-6
2020-11-03 23:31:26 configure libapparmor1:armhf 2.13.2-10 <none>
